Отметка времени,"Попробуйте вспомнить и предположить, с какой именно инфекцией чаще всего встречались вы и ваши одногруппники                       Do you remember what sort of URI's you or your group mates usually fall victim to ?","Вы ходите на учебу, когда больны ОРВИ? Do you go to classes although you’re down with the cold ?","Если на предыдущий вопрос вы ответили ""Да"", расскажите, почему? If you answered yes to the previous question please explain why ",Случались ли у вас в группе или на потоке крупные вспышки ОРВИ? Has it happened before that a huge amount of people were infected at the same time ?,"А лично вас когда-нибудь заражали больные одногруппники, посетившие занятия? Have you been directly infected by a group mate who wasn’t present during class ? ","Как думаете, стоит создать облегченный режим отработок для студентов с инфекционными заболеваниями, выбравших остаться дома до выздоровления? What do you think, would it be reasonable to have a better regime of replacement classes for students who have fallen ill and have chosen to stay home till they feel better?","Последний вопрос: чем вы обычно лечитесь, заболев ОРВИ? How do you normally treat yourself when ill with an URI ?"
10.03.2018 12:57:56,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Нет, это будет просто очередной повод прогулять пары",Осельтамивир/тамифлю
07.04.2018 23:36:25,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:37:03,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Я сам(а) всех заражаю,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:37:22,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
07.04.2018 23:37:30,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:39:42,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:39:43,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
07.04.2018 23:41:39,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, в маске",Тяжело будет отрабатывать,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:42:15,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:42:37,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:43:08,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:44:46,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Нет,"Да, это обеспечит эпидемическую безопасность",Антибиотики
07.04.2018 23:44:59,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Я сам(а) всех заражаю,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:45:07,,"Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
07.04.2018 23:46:33,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:46:44,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:47:07,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:47:36,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
07.04.2018 23:47:37,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:47:56,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски",Тяжело будет отрабатывать,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:48:28,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Антибиотики
07.04.2018 23:48:35,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Нет, я беру справку и остаюсь дома",,Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
07.04.2018 23:48:41,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
07.04.2018 23:48:57,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, в маске","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Да,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:49:30,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Ингавирин/кагоцел/арбидол
07.04.2018 23:50:25,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:50:25,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:50:44,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:50:58,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:51:11,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:51:40,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:52:22,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:52:23,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
07.04.2018 23:52:31,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
